regime,probe_tag,kind,bucket,distance,hit,used_retrieval,answer
full-history,F01,fact,short,2,1,0,The ember pawl pipeline is pinned to build **argon-1501** until further notice.
full-history,D01,decision,short,2,1,0,We adopted argon-cache for the anchor layer because of latency constraints.
full-history,G01,status,short,5,1,0,"""goal status update: ship the nozzle migration is now done"""
full-history,F04,fact,short,3,1,0,The mossy gasket pipeline is pinned to build delta-7245.
full-history,D02,decision,medium,14,1,0,"""decided to adopt basalt-queue for the manifold layer because of durability constraints"""
full-history,F02,fact,medium,22,1,0,The jasper anchor pipeline is pinned to build `basalt-1416` until further notice.
full-history,D04,decision,short,4,1,0,We adopted delta-ledger for the baffle layer because of portability constraints.
full-history,G02,status,medium,20,1,0,"The status is ""pending"" — the context shows ""new goal (pending): ship the hinge migration"" with no subsequent completion"
full-history,G04,status,short,3,1,0,"The goal to ship the gasket migration is ""pending"" — it has not been marked as done in the provided context."
full-history,F07,fact,short,5,1,0,The lunar orifice pipeline is pinned to build granite-4632 until further notice.
full-history,F05,fact,medium,23,1,0,The brisk manifold pipeline is pinned to build `ember-7915` until further notice.
full-history,D05,decision,medium,13,1,0,We adopted **ember-bus** for the lattice layer because of idempotency constraints.
full-history,F03,fact,long,35,1,0,The nickel nozzle pipeline is pinned to build cobalt-9870 until further notice.
full-history,F10,fact,short,3,1,0,The dusky flange pipeline is pinned to build **basalt-4782** until further notice.
full-history,D07,decision,short,4,1,0,We adopted **granite-lock** for the jig layer because of simplicity constraints.
full-history,F08,fact,medium,20,1,0,The hollow hinge pipeline is pinned to build helium-9123 until further notice.
full-history,G05,status,medium,16,1,0,"The goal to ship the eyelet migration is now done, according to the status update: ""goal status update: ship the eyelet "
full-history,F11,fact,medium,16,1,0,The frosted baffle pipeline is pinned to build cobalt-8530 until further notice.
full-history,D03,decision,long,55,1,0,cobalt-index was adopted for the hinge layer because of auditability constraints.
full-history,D08,decision,medium,23,1,0,We adopted `helium-pool` for the eyelet layer because of throughput constraints.
full-history,F06,fact,long,51,1,0,The pluvial jig pipeline is pinned to build flint-1475.
full-history,F09,fact,long,38,1,0,The ionic eyelet pipeline is pinned to build `argon-4818` until further notice.
full-history,F12,fact,medium,23,1,0,The gilded impeller pipeline is pinned to build **delta-1352** until further notice.
full-history,D06,decision,long,41,1,0,`flint-store` for the nozzle layer because of observability constraints.
full-history,G03,status,long,47,1,0,"The goal to ship the keel migration is complete: ""goal status update: ship the keel migration is now done""."
full-history,G06,status,long,32,1,0,"The goal ""ship the lattice migration"" is listed as ""new goal (pending)"" in the context, with no status update provided."
full-history,F01,fact,short,5,1,0,"The brisk manifold pipeline is pinned to ""build argon-7226 until further notice."""
full-history,D01,decision,short,5,1,0,"We adopted **argon-cache** for the pawl layer: ""decided to adopt argon-cache for the pawl layer because of latency const"
full-history,G01,status,short,5,1,0,"The lattice migration is now done: ""goal status update: ship the lattice migration is now done"""
full-history,F04,fact,short,2,1,0,The frosted impeller pipeline is pinned to build delta-4778.
full-history,F02,fact,medium,14,1,0,The pluvial pawl pipeline is pinned to build basalt-9613 until further notice.
full-history,D04,decision,short,5,1,0,We adopted delta-ledger for the gasket layer because of portability constraints.
full-history,G02,status,medium,20,1,0,"The goal to ship the keel migration is ""pending"" as stated in ""new goal (pending): ship the keel migration""."
full-history,D02,decision,medium,23,1,0,"We adopted **basalt-queue** for the flange layer ""because of durability constraints."""
full-history,G04,status,short,4,1,0,"The impeller migration goal status is ""pending"": ""new goal (pending): ship the impeller migration"" with no subsequent co"
full-history,F07,fact,short,4,1,0,The ember hinge pipeline is pinned to build `granite-9358` until further notice.
full-history,F05,fact,medium,17,1,0,The coral flange pipeline is pinned to build `ember-3895` until further notice.
full-history,D07,decision,short,3,1,0,"We adopted ""granite-lock for the orifice layer because of simplicity constraints."""
full-history,F10,fact,short,4,1,0,"The ionic anchor pipeline is pinned to ""build basalt-7793 until further notice."""
full-history,F03,fact,long,42,1,0,The onyx lattice pipeline is pinned to build cobalt-3907 until further notice.
full-history,D05,decision,medium,22,1,0,"""decided to adopt ember-bus for the baffle layer because of idempotency constraints"""
full-history,F08,fact,medium,22,1,0,The jasper keel pipeline is pinned to build helium-9417 until further notice.
full-history,F06,fact,long,39,1,0,The kelp orifice pipeline is pinned to build flint-3844 until further notice.
full-history,F11,fact,medium,17,1,0,The amber gasket pipeline is pinned to build cobalt-6796.
full-history,G05,status,medium,19,1,0,"""goal status update: ship the eyelet migration is now done"""
full-history,D08,decision,medium,19,1,0,`helium-pool` for the eyelet layer because of throughput constraints.
full-history,D03,decision,long,58,1,0,"""decided to adopt cobalt-index for the keel layer because of auditability constraints"""
full-history,F09,fact,long,38,1,0,The dusky eyelet pipeline is pinned to build `argon-3979` until further notice.
full-history,F12,fact,medium,23,1,0,The gilded crank pipeline is pinned to build delta-8303.
full-history,D06,decision,long,41,1,0,We adopted `flint-store` for the lattice layer because of observability constraints.
full-history,G03,status,long,49,1,0,"The goal to ship the dynamo migration is now done: ""goal status update: ship the dynamo migration is now done"""
full-history,G06,status,long,32,1,0,"The goal to ship the baffle migration is ""new goal (pending)"" with no completion status update in the context."
full-history,F01,fact,short,3,1,0,"The hollow pawl pipeline is pinned to ""build argon-2049 until further notice."""
full-history,D01,decision,short,4,1,0,We adopted argon-cache for the impeller layer because of latency constraints.
full-history,G01,status,short,4,1,0,"The nozzle migration is now done — ""goal status update: ship the nozzle migration is now done""."
