regime,probe_tag,kind,bucket,distance,hit,used_retrieval,answer
full-history,F01,fact,short,2,1,0,The ember pawl pipeline is pinned to build argon-1501.
full-history,D01,decision,short,2,1,0,We adopted **argon-cache** for the anchor layer because of latency constraints.
full-history,F04,fact,short,3,1,0,The mossy gasket pipeline is pinned to build delta-7245.
full-history,G04,status,short,3,1,0,"The gasket migration is listed as a pending goal: ""new goal (pending): ship the gasket migration."""
full-history,D04,decision,short,4,1,0,We adopted delta-ledger for the baffle layer because of portability constraints.
full-history,F07,fact,short,5,1,0,The lunar orifice pipeline is pinned to build `granite-4632` until further notice.
full-history,G01,status,short,5,1,0,"The goal to ship the nozzle migration is now done: ""goal status update: ship the nozzle migration is now done"""
full-history,D02,decision,medium,14,1,0,"""basalt-queue for the manifold layer because of durability constraints"""
full-history,F10,fact,short,3,1,0,"The dusky flange pipeline is pinned to ""build basalt-4782 until further notice."""
full-history,F02,fact,medium,22,1,0,The jasper anchor pipeline is pinned to build basalt-1416.
full-history,D07,decision,short,4,1,0,We adopted **granite-lock** for the jig layer because of simplicity constraints.
full-history,G02,status,medium,20,1,0,"The status is ""pending"" — the context shows ""new goal (pending): ship the hinge migration"" with no subsequent status upd"
full-history,D05,decision,medium,13,1,0,"We adopted ""ember-bus for the lattice layer because of idempotency constraints."""
full-history,F05,fact,medium,23,1,0,The brisk manifold pipeline is pinned to build `ember-7915` until further notice.
full-history,F08,fact,medium,20,1,0,The hollow hinge pipeline is pinned to build `helium-9123`.
full-history,F11,fact,medium,16,1,0,The frosted baffle pipeline is pinned to build cobalt-8530.
full-history,G05,status,medium,16,1,0,"The status of the goal to ship the eyelet migration is complete: ""goal status update: ship the eyelet migration is now d"
full-history,F03,fact,long,34,1,0,The nickel nozzle pipeline is pinned to build cobalt-9870.
full-history,F06,fact,long,28,1,0,The pluvial jig pipeline is pinned to build `flint-1475` until further notice.
full-history,F09,fact,medium,22,1,0,The ionic eyelet pipeline is pinned to build argon-4818.
full-history,F12,fact,medium,16,1,0,The gilded impeller pipeline is pinned to build delta-1352 until further notice.
full-history,D03,decision,long,30,1,0,`cobalt-index` was adopted for the hinge layer because of auditability constraints.
full-history,D06,decision,medium,21,1,0,`flint-store for the nozzle layer because of observability constraints`
full-history,D08,decision,medium,15,1,0,We adopted helium-pool for the eyelet layer because of throughput constraints.
full-history,G03,status,medium,19,1,0,"The keel migration is now done, per the goal status update: ""ship the keel migration is now done""."
full-history,G06,status,medium,22,1,0,"The goal to ship the lattice migration is listed as ""new goal (pending): ship the lattice migration"" with no subsequent "
truncate,F01,fact,short,2,1,0,The ember pawl pipeline is pinned to build argon-1501 until further notice.
truncate,D01,decision,short,2,1,0,We adopted argon-cache for the anchor layer because of latency constraints.
truncate,F04,fact,short,3,1,0,The mossy gasket pipeline is pinned to build delta-7245 until further notice.
truncate,G04,status,short,3,1,0,"The gasket migration is listed as ""new goal (pending): ship the gasket migration"" with no subsequent status update in th"
truncate,D04,decision,short,4,1,0,We adopted **delta-ledger** for the baffle layer because of portability constraints.
truncate,F07,fact,short,5,1,0,The lunar orifice pipeline is pinned to build `granite-4632` until further notice.
truncate,G01,status,short,5,1,0,"The goal to ship the nozzle migration is ""now done"" per the status update: ""goal status update: ship the nozzle migratio"
truncate,D02,decision,medium,14,1,0,We adopted **basalt-queue** for the manifold layer because of durability constraints.
truncate,F10,fact,short,3,1,0,The dusky flange pipeline is pinned to build basalt-4782.
truncate,F02,fact,medium,22,1,0,The jasper anchor pipeline is pinned to build `basalt-1416` until further notice.
truncate,D07,decision,short,4,1,0,We adopted `granite-lock` for the jig layer because of simplicity constraints.
truncate,G02,status,medium,20,1,0,"The goal to ship the hinge migration is still pending — it was declared as ""new goal (pending): ship the hinge migration"
truncate,D05,decision,medium,13,1,0,We adopted `ember-bus` for the lattice layer because of idempotency constraints.
truncate,F05,fact,medium,23,1,0,The brisk manifold pipeline is pinned to build `ember-7915` until further notice.
truncate,F08,fact,medium,20,1,0,The hollow hinge pipeline is pinned to build **helium-9123** until further notice.
truncate,F11,fact,medium,16,1,0,The frosted baffle pipeline is pinned to build cobalt-8530.
truncate,G05,status,medium,16,1,0,"The goal to ship the eyelet migration is ""now done,"" per the status update: ""goal status update: ship the eyelet migrati"
truncate,F03,fact,long,34,0,0,RETRIEVE: nickel nozzle pipeline build pin
truncate,F06,fact,long,28,1,0,"The pluvial jig pipeline is pinned to ""build flint-1475 until further notice."""
truncate,F09,fact,medium,22,1,0,The ionic eyelet pipeline is pinned to build `argon-4818` until further notice.
truncate,F12,fact,medium,16,1,0,The gilded impeller pipeline is pinned to build **delta-1352** until further notice.
truncate,D03,decision,long,30,1,0,"""Cobalt-index for the hinge layer because of auditability constraints."""
truncate,D06,decision,medium,21,1,0,We adopted **flint-store** for the nozzle layer because of observability constraints.
truncate,D08,decision,medium,15,1,0,We adopted helium-pool for the eyelet layer because of throughput constraints.
truncate,G03,status,medium,19,1,0,"The status of the goal to ship the keel migration is: ""goal status update: ship the keel migration is now done"""
truncate,G06,status,medium,22,1,0,"The lattice migration status is ""new goal (pending)""."
summary,F01,fact,short,2,1,0,"The ember pawl pipeline is pinned to ""build argon-1501 until further notice."""
summary,D01,decision,short,2,1,0,We adopted **argon-cache** for the anchor layer because of latency constraints.
summary,F04,fact,short,3,1,0,The mossy gasket pipeline is pinned to build delta-7245.
summary,G04,status,short,3,1,0,"The gasket migration goal is listed as ""new goal (pending): ship the gasket migration"" — it has not yet been completed."
summary,D04,decision,short,4,1,0,We adopted `delta-ledger` for the baffle layer because of portability constraints.
summary,F07,fact,short,5,1,0,The lunar orifice pipeline is pinned to build granite-4632.
summary,G01,status,short,5,1,0,"The nozzle migration is complete: ""goal status update: ship the nozzle migration is now done."""
summary,D02,decision,medium,14,1,0,We adopted basalt-queue for the manifold layer because of durability constraints.
summary,F10,fact,short,3,1,0,The dusky flange pipeline is pinned to build basalt-4782.
summary,F02,fact,medium,22,1,0,The jasper anchor pipeline is pinned to build basalt-1416.
summary,D07,decision,short,4,1,0,"We adopted granite-lock for the jig layer ""because of simplicity constraints."""
summary,G02,status,medium,20,1,0,"The hinge migration status is listed as ""new goal (pending): ship the hinge migration"" with no subsequent completion upd"
summary,D05,decision,medium,13,1,0,"We adopted ""ember-bus for the lattice layer because of idempotency constraints."""
summary,F05,fact,medium,23,0,0,RETRIEVE: brisk manifold pipeline pinned build
summary,F08,fact,medium,20,1,0,The hollow hinge pipeline is pinned to build helium-9123 until further notice.
summary,F11,fact,medium,16,1,0,"The frosted baffle pipeline is pinned to ""build cobalt-8530 until further notice."""
summary,G05,status,medium,16,1,0,"The status is complete: ""goal status update: ship the eyelet migration is now done"""
summary,F03,fact,long,34,0,0,RETRIEVE: nickel nozzle pipeline pinned build
summary,F06,fact,long,28,0,0,RETRIEVE: pluvial jig pipeline pinned build
summary,F09,fact,medium,22,1,0,The ionic eyelet pipeline is pinned to build argon-4818 until further notice.
summary,F12,fact,medium,16,1,0,"The gilded impeller pipeline is pinned to build delta-1352: ""the gilded impeller pipeline is pinned to build delta-1352 "
summary,D03,decision,long,30,0,0,RETRIEVE: what was adopted for the hinge layer
summary,D06,decision,medium,21,1,0,We adopted **flint-store** for the nozzle layer because of observability constraints.
summary,D08,decision,medium,15,1,0,We adopted helium-pool for the eyelet layer because of throughput constraints.
summary,G03,status,medium,19,1,0,"""goal status update: ship the keel migration is now done"""
summary,G06,status,medium,22,1,0,"The lattice migration goal status is ""pending"" — the context shows ""new goal (pending): ship the lattice migration"" with"
rope,F01,fact,short,2,1,0,The ember pawl pipeline is pinned to build `argon-1501` until further notice (per DELTA: `svc/pawl.py|mod|ember pawl pip
rope,D01,decision,short,2,1,0,"We adopted argon-cache for the anchor layer: ""decided to adopt argon-cache for anchor layer ∵ latency constraints"" (D4)."
rope,F04,fact,short,3,0,0,The mossy gasket pipeline is pinned to build `tv-c14208ebf769d1af` (from K17).
rope,G04,status,short,3,1,0,"G4 shows the goal to ""ship gasket migr"" with status `◌` (pending)."
rope,D04,decision,short,4,1,1,"We adopted **delta-ledger** for the baffle layer because of portability constraints (D4, 2026-07-03)."
rope,F07,fact,short,5,1,1,The lunar orifice pipeline is pinned to build **granite-4632** until further notice (from `svc/orifice.py`).
rope,G01,status,short,5,1,0,`✓ G1|new goal (◌): ship nozzle migr` — the nozzle migration goal is marked done.
rope,D02,decision,medium,14,1,1,"We adopted **basalt-queue** for the manifold layer because of durability constraints (D8, 2026-07-03)."
rope,F10,fact,short,3,1,1,The dusky flange pipeline is pinned to build **basalt-4782** until further notice.
rope,F02,fact,medium,22,1,1,The jasper anchor pipeline is pinned to build **basalt-1416** until further notice.
rope,D07,decision,short,4,1,1,"We adopted **granite-lock** for the jig layer ""∵ simplicity constraints"" (D7|2026-07-03)."
